fid,Merged,xcoord,ycoord
"527",32,-0.146666666666667,51.4325
"528",34,-0.146111111111111,51.4325
"529",35,-0.145555555555556,51.4325
"530",33,-0.145,51.4325
"531",32,-0.144444444444444,51.4325
"532",33,-0.143888888888889,51.4325
"533",35,-0.143333333333333,51.4325
"534",36,-0.142777777777778,51.4325
"535",35,-0.142222222222222,51.4325
"536",33,-0.141666666666667,51.4325
"537",35,-0.141111111111111,51.4325
"538",37,-0.140555555555556,51.4325
"539",36,-0.14,51.4325
"540",36,-0.139444444444444,51.4325
"541",38,-0.138888888888889,51.4325
"542",42,-0.138333333333333,51.4325
"543",45,-0.137777777777778,51.4325
"544",45,-0.137222222222222,51.4325
"545",43,-0.136666666666667,51.4325
"546",44,-0.136111111111111,51.4325
"547",45,-0.135555555555556,51.4325
"548",42,-0.135,51.4325
"549",42,-0.134444444444444,51.4325
"550",44,-0.133888888888889,51.4325
"551",45,-0.133333333333333,51.4325
"552",48,-0.132777777777778,51.4325
"553",49,-0.132222222222222,51.4325
"554",53,-0.131666666666667,51.4325
"555",55,-0.131111111111111,51.4325
"556",55,-0.130555555555556,51.4325
"557",56,-0.13,51.4325
"558",57,-0.129444444444444,51.4325
"559",57,-0.128888888888889,51.4325
"560",58,-0.128333333333333,51.4325
"561",58,-0.127777777777778,51.4325
"562",59,-0.127222222222222,51.4325
"563",60,-0.126666666666667,51.4325
"564",59,-0.126111111111111,51.4325
"565",57,-0.125555555555556,51.4325
"566",56,-0.125,51.4325
"567",56,-0.124444444444444,51.4325
"568",57,-0.123888888888889,51.4325
"569",61,-0.123333333333333,51.4325
"570",61,-0.122777777777778,51.4325
"571",61,-0.122222222222222,51.4325
"572",62,-0.121666666666667,51.4325
"573",65,-0.121111111111111,51.4325
"574",66,-0.120555555555556,51.4325
"575",65,-0.12,51.4325
"576",65,-0.119444444444444,51.4325
"577",65,-0.118888888888889,51.4325
"578",64,-0.118333333333333,51.4325
"579",64,-0.117777777777778,51.4325
"580",66,-0.117222222222222,51.4325
"581",70,-0.116666666666667,51.4325
"582",74,-0.116111111111111,51.4325
"583",76,-0.115555555555556,51.4325
"584",79,-0.115,51.4325
"585",82,-0.114444444444444,51.4325
"586",83,-0.113888888888889,51.4325
"587",83,-0.113333333333333,51.4325
"588",83,-0.112777777777778,51.4325
"589",82,-0.112222222222222,51.4325
"590",82,-0.111666666666667,51.4325
"591",82,-0.111111111111111,51.4325
"592",79,-0.110555555555556,51.4325
"593",75,-0.11,51.4325
"594",75,-0.109444444444444,51.4325
"595",70,-0.108888888888889,51.4325
"596",70,-0.108333333333333,51.4325
"597",71,-0.107777777777778,51.4325
"598",69,-0.107222222222222,51.4325
"599",65,-0.106666666666667,51.4325
"600",59,-0.106111111111111,51.4325
"601",57,-0.105555555555556,51.4325
"602",55,-0.105,51.4325
"603",55,-0.104444444444444,51.4325
"604",55,-0.103888888888889,51.4325
"605",54,-0.103333333333333,51.4325
"606",50,-0.102777777777778,51.4325
"607",50,-0.102222222222222,51.4325
"608",49,-0.101666666666667,51.4325
"609",47,-0.101111111111111,51.4325
"610",46,-0.100555555555556,51.4325
"611",47,-0.1,51.4325
"612",49,-0.0994444444444444,51.4325
"613",53,-0.0988888888888889,51.4325
"614",60,-0.0983333333333334,51.4325
"615",65,-0.0977777777777779,51.4325
"616",63,-0.0972222222222223,51.4325
"617",62,-0.0966666666666667,51.4325
"618",59,-0.0961111111111111,51.4325
"619",55,-0.0955555555555556,51.4325
"620",52,-0.0950000000000001,51.4325
"621",50,-0.0944444444444444,51.4325
"622",46,-0.0938888888888889,51.4325
"623",46,-0.0933333333333334,51.4325
"624",48,-0.0927777777777778,51.4325
"625",46,-0.0922222222222223,51.4325
"626",45,-0.0916666666666667,51.4325
"627",45,-0.0911111111111111,51.4325
"628",46,-0.0905555555555556,51.4325
"629",45,-0.0900000000000001,51.4325
"630",46,-0.0894444444444444,51.4325
"631",46,-0.0888888888888889,51.4325
"632",45,-0.0883333333333334,51.4325
"633",49,-0.0877777777777778,51.4325
"634",51,-0.0872222222222223,51.4325
"635",51,-0.0866666666666667,51.4325
"636",53,-0.0861111111111111,51.4325
"637",53,-0.0855555555555556,51.4325
"638",52,-0.0850000000000001,51.4325
"639",52,-0.0844444444444445,51.4325
"640",53,-0.0838888888888889,51.4325
"641",57,-0.0833333333333334,51.4325
"642",58,-0.0827777777777778,51.4325
"643",58,-0.0822222222222223,51.4325
"644",60,-0.0816666666666667,51.4325
"645",62,-0.0811111111111111,51.4325
"646",61,-0.0805555555555556,51.4325
"647",60,-0.0800000000000001,51.4325
"648",64,-0.0794444444444445,51.4325
"649",70,-0.0788888888888889,51.4325
"650",73,-0.0783333333333334,51.4325
"651",77,-0.0777777777777778,51.4325
"652",81,-0.0772222222222223,51.4325
"653",85,-0.0766666666666667,51.4325
"654",89,-0.0761111111111111,51.4325
"655",92,-0.0755555555555556,51.4325
"656",94,-0.0750000000000001,51.4325
"657",101,-0.0744444444444445,51.4325
"658",109,-0.0738888888888889,51.4325
"659",110,-0.0733333333333334,51.4325
"660",112,-0.0727777777777778,51.4325
"661",115,-0.0722222222222223,51.4325
"662",116,-0.0716666666666667,51.4325
"663",114,-0.0711111111111111,51.4325
"664",114,-0.0705555555555556,51.4325
"665",112,-0.0700000000000001,51.4325
"666",108,-0.0694444444444445,51.4325
"667",105,-0.0688888888888889,51.4325
"668",104,-0.0683333333333334,51.4325
"669",104,-0.0677777777777778,51.4325
"670",100,-0.0672222222222223,51.4325
"671",100,-0.0666666666666668,51.4325
"672",100,-0.0661111111111111,51.4325
"673",93,-0.0655555555555556,51.4325
"674",85,-0.0650000000000001,51.4325
"675",82,-0.0644444444444445,51.4325
"676",78,-0.0638888888888889,51.4325
"677",78,-0.0633333333333334,51.4325
"678",77,-0.0627777777777778,51.4325
"679",75,-0.0622222222222223,51.4325
"680",73,-0.0616666666666668,51.4325
"681",69,-0.0611111111111111,51.4325
"682",67,-0.0605555555555556,51.4325
"683",65,-0.0600000000000001,51.4325
"684",62,-0.0594444444444445,51.4325
"685",60,-0.0588888888888889,51.4325
"686",59,-0.0583333333333333,51.4325
"687",58,-0.0577777777777778,51.4325
"688",56,-0.0572222222222223,51.4325
"689",57,-0.0566666666666668,51.4325
"690",57,-0.0561111111111111,51.4325
"691",54,-0.0555555555555556,51.4325
"692",54,-0.055,51.4325
"693",54,-0.0544444444444445,51.4325
"694",55,-0.053888888888889,51.4325
"695",55,-0.0533333333333333,51.4325
"696",56,-0.0527777777777778,51.4325
"697",57,-0.0522222222222223,51.4325
"698",55,-0.0516666666666667,51.4325
"699",55,-0.0511111111111111,51.4325
"700",56,-0.0505555555555556,51.4325
"701",55,-0.05,51.4325
"702",55,-0.0494444444444445,51.4325
"703",54,-0.048888888888889,51.4325
"704",53,-0.0483333333333333,51.4325
"705",53,-0.0477777777777778,51.4325
"706",52,-0.0472222222222223,51.4325
"707",52,-0.0466666666666667,51.4325
"708",50,-0.0461111111111111,51.4325
"709",49,-0.0455555555555556,51.4325
"710",48,-0.045,51.4325
"711",47,-0.0444444444444445,51.4325
"712",45,-0.043888888888889,51.4325
"713",45,-0.0433333333333333,51.4325
"714",43,-0.0427777777777778,51.4325
"715",41,-0.0422222222222223,51.4325
"716",38,-0.0416666666666667,51.4325
"717",36,-0.0411111111111112,51.4325
"718",33,-0.0405555555555556,51.4325
"719",32,-0.04,51.4325
"720",32,-0.0394444444444445,51.4325
"721",31,-0.038888888888889,51.4325
"722",31,-0.0383333333333333,51.4325
"723",30,-0.0377777777777778,51.4325
"724",29,-0.0372222222222223,51.4325
